service_name,rule_type,specialty,facility_level,tariff_amount,payment_method,conditions_count,coverage_conditions_count,exclusions_count
Anterior cervical fusion - AO plating/POSTERIOR DE...,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),448000.0,fee-for-service,1,1,2
Application of skull calipers,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),56000.0,fee-for-service,1,1,2
Brain abscess,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),268800.0,fee-for-service,1,1,2
Brain Biopsy procedure,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),112000.0,fee-for-service,1,1,2
Clipping of cerebral artery,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),448000.0,fee-for-service,1,1,2
Craniotomy for Aneurysm,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),504000.0,fee-for-service,1,1,2
Craniotomy for AV malformation,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),336000.0,fee-for-service,1,1,2
Craniotomy for Intracelebral haematoma,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),336000.0,fee-for-service,1,1,2
Craniotomy for Brain Tumour,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),504000.0,fee-for-service,1,1,2
Elevation of depressed skull fracture,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),168000.0,fee-for-service,1,1,2
Endoscopic Third Ventriculostomy w Choroid Plexux ...,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),208000.0,fee-for-service,1,1,2
EVD Insertion/ICP Monitoring,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),112000.0,fee-for-service,1,1,2
Excision of intracranial nerve lesions,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Excision of spinal tumours,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Extradural haematoma,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),112000.0,fee-for-service,1,1,2
Laminectomy for cervical / thoracic / or lumbar sp...,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),145600.0,fee-for-service,1,1,2
Microdiscectomy,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),145600.0,fee-for-service,1,1,2
Microsurgical nerve graft / Nerve repair / explora...,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),145600.0,fee-for-service,1,1,2
Posterior fossa surgery,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),504000.0,fee-for-service,1,3,2
Repair of Dura for non-trauma/non cancer related,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),224000.0,fee-for-service,2,1,2
Spina Bifida Surgery/encephalocoele,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),168000.0,fee-for-service,1,3,2
Spinal fusions with implants II level,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),280000.0,fee-for-service,1,1,2
Spinal fusions with implants III level,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),313600.0,fee-for-service,1,1,2
Spinal fusions with implants IV level,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),313600.0,fee-for-service,1,1,2
Surgical Toilet and repair of major scalp wounds u...,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),67200.0,fee-for-service,1,2,2
Surgical Toilet for scalp tumour under GA,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),67200.0,fee-for-service,1,1,2
Ventriculoperitoneal (VP) shunting,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),210000.0,fee-for-service,1,1,2
VP shunting,annex_procedure,Neurosurgery,Level 5-6 (Specialized Hospital),100800.0,fee-for-service,1,1,2
AP colpoperineorrhaphy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
bilateral tubal ligation,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),28000.0,fee-for-service,1,1,2
Cerclage,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,2
Colposuspension + D&C,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,2
Cornual Wedge resection for Interstitial Ectopic P...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
D & C + Cone biopsy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),28000.0,fee-for-service,1,1,2
Diagnostic / Dye Laparoscopy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,2
Dilation and Curettage for incomplete abortion/mis...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),66000.0,fee-for-service,1,1,2
Laparotomy: Endometriosis Surgery,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,3,2
Laparotomy: Exploratory / Adhesiolysis,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Hysterectomy (Abdominal),annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Laparotomy: Metroplasty / Uteroplasty,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Myomectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Laparotomy: Ovarian cystectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Laparotomy: Pelvic Abscess,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Ruptured ectopic pregnancy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Salpingo – oopherectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Laparotomy: Tuboplasty,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Laparotomy: Vaginal Hysterectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
LLETZ (Loop excision),annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,2
Manchester Repair,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Manual Vaccum Aspiriation,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),11200.0,fee-for-service,1,1,2
Marsupialisation of Batholins Cyst / Abscess,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),16800.0,fee-for-service,1,1,2
Obstetric Examination under GA,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),33000.0,fee-for-service,1,1,2
Operative Hysteroscopy: Avulsion of Endometrial Po...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,3
Operative Hysteroscopy: Biopsy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,2
Operative Hysteroscopy: Endometrial Ablation,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,3
Operative Hysteroscopy: Resection of Submucous Fib...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),22400.0,fee-for-service,1,1,2
Operative Hysteroscopy: Retrieval of lost/ fragmen...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),8960.0,fee-for-service,1,1,2
Operative Hysteroscopy: Synechiolysis / Septolysis,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),33600.0,fee-for-service,1,1,2
Operative Laparoscopy: Adhesiolysis,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Operative Laparoscopy: Ectopic Pregnancy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Operative Laparoscopy: Endometriosis Surgery,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,3,2
Operative Laparoscopy: Hysterectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Operative Laparoscopy: Myomectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Operative Laparoscopy: Ovarian Cystectomy / Drilli...,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Operative Laparoscopy: Tuboplasty,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Ovarian cancer resection (Pelvic clearance),annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),246400.0,fee-for-service,1,1,2
Radical Vulvectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),168000.0,fee-for-service,1,1,2
removal of retained placenta under GA,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),11200.0,fee-for-service,1,1,2
Repair of rectovaginal fistula,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Repair of ruptured uterus/Caesarian Hysterectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),134400.0,fee-for-service,1,1,2
Repair of vesicovaginal fistula,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),89600.0,fee-for-service,1,1,2
Resuturing of burst abdomen,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),44800.0,fee-for-service,1,1,2
Simple Vulvectomy,annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),44800.0,fee-for-service,1,1,2
Wertheim’s Hysterectomy (Oncology only),annex_procedure,Obs & Gyn,Level 4+ (County Hospital or higher),246400.0,fee-for-service,1,1,2
A/B Scan,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),2240.0,fee-for-service,1,1,2
Ahmed Valve,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),169000.0,fee-for-service,1,1,2
Amniotic Membrane grafting (Large),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),28000.0,fee-for-service,1,1,2
Anterior Chamber reformation and bandage contact l...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),14560.0,fee-for-service,1,1,2
Anterior Chamber Tap,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),8960.0,fee-for-service,1,1,2
Anterior Chamber Washout,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Anterior Stromal Puncture with Bandage Contact Len...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),14560.0,fee-for-service,1,1,2
Anterior Vitrectomy + Lensectomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),112000.0,fee-for-service,1,1,2
Biometry,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
Bleb revision,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Blepharoplasty/Blepharotomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),84000.0,fee-for-service,1,1,2
Bullae Rupture with Bandage Contact Lens,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),8960.0,fee-for-service,1,1,2
"Canthus Procedures (Cantholysis, Canthoplasty, Can...",annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),28000.0,fee-for-service,1,1,2
Cataract extraction SICS,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),30000.0,fee-for-service,1,1,2
Cataract extraction with implant -Phaco ALCON,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),60000.0,fee-for-service,1,1,2
Cataract extraction with implant-Phaco IOL,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),60000.0,fee-for-service,1,1,2
Conjunctival DCR plus tube,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),112000.0,fee-for-service,1,1,2
Conjunctival Excision + Major Reconstruction,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),44800.0,fee-for-service,1,2,2
Conjunctival Incision biopsy (including histopatho...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),44800.0,fee-for-service,1,1,2
Corneal Tomo/Topography,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
Corneal transplant + Cataract Extraction + Intraoc...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),280000.0,fee-for-service,1,1,2
Corneal/Scleral Perforation repair,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),112000.0,fee-for-service,1,1,2
Crosslinking,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),111000.0,fee-for-service,1,1,2
Cyclocryotherapy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Cyclophotocoagulation,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
DCR revision,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),89600.0,fee-for-service,1,1,2
DCR/Fistulectomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),145600.0,fee-for-service,1,1,2
Ectropion repair minor and major,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),39200.0,fee-for-service,1,2,2
Entropion repair minor and major,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),39200.0,fee-for-service,1,2,2
Epiblepharon repair,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),39200.0,fee-for-service,1,1,2
Evisceration + implant,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),44800.0,fee-for-service,1,1,2
Flourescein Angiography,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),22400.0,fee-for-service,1,1,2
Intraocular lens exchange,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),33600.0,fee-for-service,1,1,2
Intraocular lens redialing,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Intravitreal Antibiotics/Steroid,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),7840.0,fee-for-service,1,1,2
Intravitreal AntiFungal Injection,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Intravitreal Bevazicumab,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Intravitreal Dexamethasone implant,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),84000.0,fee-for-service,1,1,2
Intravitreal Triamcinolone,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),7840.0,fee-for-service,1,1,2
Iridolysis,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),22400.0,fee-for-service,1,1,2
Lacrimal glands prolapse repair,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),56000.0,fee-for-service,1,1,2
Lacrimal Probing and Syringing (adults),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Lacrimal Probing and Syringing (pediatrics),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),33600.0,fee-for-service,1,1,2
Laser suturelysis,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Lash electrolysis,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Lid splitting +cryotherapy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),33600.0,fee-for-service,1,1,2
Lid tumour Excision + major reconstruction,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),78400.0,fee-for-service,1,2,2
Lid tumour Excision biopsy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),46000.0,fee-for-service,1,1,2
Lid tumour Incision biopsy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),46000.0,fee-for-service,1,1,2
Macula Hole Surgery,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),224000.0,fee-for-service,1,3,2
OCT Angiography,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),7840.0,fee-for-service,1,1,2
OCT Anterior,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
OCT Posterior,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
Ocular prosthesis,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Orbital implant removal,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),22400.0,fee-for-service,1,1,2
Orbitotomy (lateral/anterior),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),112000.0,fee-for-service,1,1,2
Penetrating Keratoplasty (PKP),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),257600.0,fee-for-service,1,1,2
Photodocumentation,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
Posterior Victrectomy - Foreign Body,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),145600.0,fee-for-service,1,1,2
Posterior Victrectomy - Sunk Nucleus,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),145600.0,fee-for-service,1,1,2
Posterior Vitrectomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),168000.0,fee-for-service,1,1,2
Posterior Vitrectomy + band/buckle,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),224000.0,fee-for-service,1,1,2
Posterior Vitrectomy + band/buckle + Cataract surg...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),257600.0,fee-for-service,1,3,2
Posterior Vitrectomy + Cataract surgery,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),201600.0,fee-for-service,1,3,2
Posterior Vitrectomy + Delamination + Oil,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),224000.0,fee-for-service,1,1,2
"Pre-Descemets EndothelialKeratoplasty (DALK, DSAEK...",annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),313600.0,fee-for-service,1,1,2
Pterygium excision with conjunctival autograft,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),33600.0,fee-for-service,1,1,2
Ptosis repair/revision,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),56000.0,fee-for-service,1,1,2
"Ptosis Surgery: Anterior levator repair/resection,...",annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),78400.0,fee-for-service,1,3,2
Punctoplasty/canaliculoplasty,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),22400.0,fee-for-service,1,1,2
Pupiloplasty,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),22400.0,fee-for-service,1,1,2
Retinopexy (Silicon Oil/Gas Insertion),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),44800.0,fee-for-service,1,1,2
Scleral buckle + Cyrotherapy or Laser,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),100800.0,fee-for-service,1,1,2
Scleral buckle removal,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),56000.0,fee-for-service,1,1,2
Socket reconstruction minor,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),61600.0,fee-for-service,1,1,2
Specular Microscopy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
Squint Surgeries (all),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),134400.0,fee-for-service,1,1,2
Surgical Peripheral Iridectomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Tarsorrhaphy temporary,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),16800.0,fee-for-service,1,1,2
Trabeculectomy + Phacoemulsification cataract surg...,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),78400.0,fee-for-service,1,3,2
Trabeculectomy + Small Incision Cataract surgery,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),44800.0,fee-for-service,1,3,2
Trabeculectomy with Mitomycin C,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),33600.0,fee-for-service,1,1,2
Trabeculotomy/Goniotomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),56000.0,fee-for-service,1,1,2
Ultrasound Biomicrcopy (UBM),annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),3360.0,fee-for-service,1,1,2
YAG Iridotomy,annex_procedure,Ophthalmic,Level 3-4 (Health Center/County Hospital),11200.0,fee-for-service,1,1,2
Above elbow Amputation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Above knees Amputation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
ACL/PCL repair,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Angle plating fracture neck of femur,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
"Arthrodesis Hip, Knee, Ankle or Elbow with implant...",annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Arthrodesis vertebral joints,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),224000.0,fee-for-service,1,1,2
Arthroscopic Bankart repair,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Arthroscopic Synovectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Arthrotomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Below elbow Amputation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Below knees Amputation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Bone grafting,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Carpal tunnel decompression,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Cervical rib resection,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),112000.0,fee-for-service,1,1,2
Chondroplasty,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Closed manipulation of dislocations/fractures unde...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),16800.0,fee-for-service,1,1,2
Contracture release without flaps,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Excision head of fibula,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Excision head of radius,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Excision of Bunion (simple and bilateral under GA),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),11200.0,fee-for-service,1,1,2
Excision of calcaneal spurs,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Excision of intervertebral disc,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Exploration of Osteomyelitis / sequestrectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
External clamp application and Debridement,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Extra articular repair of joint ligament and impla...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Fasciectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Femoral epiphysis reduction / fixation (SUFE)with ...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Hallux valgus operation,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,3,2
Ilizarov procedure,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),168000.0,fee-for-service,1,1,2
Insertion of Steinmann pin,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),22400.0,fee-for-service,1,1,2
Intra articular Surgery (large joints),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,3,2
Intra articular Surgery (medium joints),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,3,2
Intra articular Surgery (small joints),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,3,2
Joint aspirations under GA,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),8960.0,fee-for-service,1,1,2
Meniscus repair,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),280000.0,fee-for-service,1,1,2
Menisectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),67200.0,fee-for-service,1,1,2
Mild club foot correction,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Moderate / severe club foot correction,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Open bone biopsy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),44800.0,fee-for-service,1,1,2
Open reduction and internal fixation: Clavicle,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open reduction and internal fixation: Femur,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open reduction and internal fixation: Humerus,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open reduction and internal fixation: Pelvis,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),224000.0,fee-for-service,1,1,2
Open reduction and internal fixation: Radius / Uln...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),145600.0,fee-for-service,1,1,2
Open Synovectomy,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),56000.0,fee-for-service,1,1,2
Operative Arthroscopy with implants,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),80640.0,fee-for-service,1,1,2
Osteotomy and implants,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Puttiplatt procedure for shoulder dislocation / We...,annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Removal of hardware (plates & nails),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),89600.0,fee-for-service,1,1,2
Removal of hardware (wires),annex_procedure,Orthopaedic,Level 4-5 (County/Teaching Hospital),22400.0,fee-for-service,1,1,2
